id,title,contentId,top_1,sim_1,top_2,sim_2,top_3,sim_3,top_4,sim_4,top_5,sim_5
0,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",-6451309518266745024,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.9999999999999994,The Rise And Growth of Ethereum Gets Mainstream Coverage,0.8659935005563691,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",0.5734914351716155,Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.5614770626959767,Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk,0.4721387396432691
1,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",-4110354420726924665,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.9999999999999994,The Rise And Growth of Ethereum Gets Mainstream Coverage,0.8659935005563691,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",0.5734914351716155,Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.5614770626959767,Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk,0.4721387396432691
2,Bitcoin Future: When GBPcoin of Branson Wins Over USDcoin of Trump,-7292285110016212249,America's allies are preparing for a bumpy ride,0.14536569392467094,I've had the chance to troll Donald Trump. But I didn't.,0.10881529367154513,What A Difference 2 Percentage Points Makes,0.08600651436432416,How To Benefit From Getting Paid in Bitcoin,0.08168555697333386,Blockchain Will Be Used By 15% of Big Banks By 2017,0.06820689162015517
3,Google Data Center 360° Tour,-6151852268067518688,Google shares data center security and design best practices,0.30512180216380785,This year's Founders' Letter,0.2780094488457365,Google Cloud Platform: The smart person's guide - TechRepublic,0.2746721768646896,YouTube's New Messenger Means You'll Never Have to Leave YouTube,0.2727874233994871,Top 5 GCP NEXT breakout sessions on YouTube (so far),0.2608384568528459
4,"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",2448026894306402386,Are you a bitcoin denialist? - Chris Skinner's blog,0.3533335460312374,Blockchain won't kill banks: Bitcoin pioneer,0.3199196966432071,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,0.30891578391670427,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",0.2942030699166496,Confused by blockchains? Revolution vs Evolution,0.2920036343353431
5,IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,-2826566343807132236,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,0.2625405672937915,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,0.25395154685804217,The Blockchain is the new Google,0.2537731947642215,From fine wine to lotteries: Blockchain tech takes off - BBC News,0.2527237075352592,"Walt Disney Now Loves Blockchain, Going Trustless in Seattle",0.23419878129518176
6,Banks Need To Collaborate With Bitcoin and Fintech Developers,-2148899391355011268,Is FinTech Forcing Banking to a Tipping Point?,0.4795255121553308,The Future of Digital Banking is Now,0.3695860886196949,Digital Tool as Strategic Enabler for Banking Transformation,0.3353790096272178,Blockchain CEO's Business Advice on Bitcoin Startups,0.32170531458907153,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,0.3146649756320058
7,Blockchain Technology Could Put Bank Auditors Out of Work,4119190424078847945,The Blockchain is the new Google,0.3240532385149849,Confused by blockchains? Revolution vs Evolution,0.30023954576890755,Banks find blockchain hard to put into practice - FT.com,0.2869140268301711,Are you a bitcoin denialist? - Chris Skinner's blog,0.27701741956690895,"Smart Managers Don't Compare People to the ""Average""",0.2506692243982778
8,Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News,-7926018713416777892,Are you a bitcoin denialist? - Chris Skinner's blog,0.3389793452141747,Blockchain CEO's Business Advice on Bitcoin Startups,0.2973249510579961,Governments vs Bitcoin: A Fight For Control,0.264894909434552,French Senate Will Debate on Bitcoin Regulation,0.25198482611884454,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,0.250807094029483
9,The Rise And Growth of Ethereum Gets Mainstream Coverage,3353902017498793780,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.8659935005563691,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.8659935005563691,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",0.5755360763061479,Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.5429630250293563,Solidity Available in Visual Studio - Ethereum Blog,0.4615058497912089
