Id,If you liked,Reccomendation 1,Reccomendation 2,Reccomendation 3,Reccomendation 4,Reccomendation 5
-9222795471790223670,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Google search now provides access to basic healthcare information in India,Learning at the speed of business,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,In defense of the Uber-ization of everything,IBM makes a big shift into cognitive computing
-9216926795620865886,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Como são escrita as risadas em japonês? - Suki Desu,"The Algorithm March, Japan's Strangely Entertaining Exercise","AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",40 Basic Japanese conversations,Mycroft: The open source answer to natural language platforms
-9194572880052200111,"STEMTera, uma protoboard com Arduino Uno embutido",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Asus ready to take bite of 'Pi' market with Tinker micro PC,KFC chinês adota robô que escaneia clientes para sugerir menu - Startupi,Google's Tensor Processing Unit explained: this is what the future of computing looks like,Aplicação de visão computacional com OpenCV
-9192549002213406534,Chrome OS now has Material Design for the desktop,Million Song Dataset | scaling MIR research,Google's Hangouts still has a future: as an enterprise communication app,WATCH: Bacteria Invade Antibiotics And Transform Into Superbugs,The new 64-bit Orange Pi is a quad-core computer for $20,Google now uses machine learning to make reading comics on phones easier
-9189659052158407108,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Bolinho de parmesão,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,Baião de Dois - uma delicia brasileiríssima,Today in Apple history: Steve Jobs passes away | Cult of Mac,"Agility in the Cloud: Which ""As a Service"" Works for You?"
-9176143510534135851,Livraria dá adeus a estoque e imprime livros na hora,Salesforce Einstein delivers artificial intelligence across the Salesforce platform,Apple is working on an AI system that wipes the floor with Google and everyone else,Unilever Buys Dollar Shave Club for $1 Billion,Revolutionize business communication with Kast,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
-9161596996229760398,Críticas de design: dizendo as coisas que precisam ser ditas,How Mature is Your Organization when it Comes to UX?,What exactly is a design culture?,Apple Announces Swimproof 'Apple Watch Series 2' With Built-In GPS,#FinTech is all about human-centred design - Chris Skinner's blog,"Apple unveils the new iPhone 7, preorder now, available 9/16"
-9160910454530522563,"Apple's new file manager, APFS, is awesome",Spotify's Event Delivery - The Road to the Cloud (Part III),A New Number Format for Computers Could Nuke Approximation Errors for Good,Shutter Island (2010),Omnitone: Spatial audio on the web,Financial services firm processes 25 billion stock market events per hour with Google Cloud Bigtable
-9137036168156595470,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption",How A.I. and chatbots can help retailers create unique in-store experiences,Como integrar marketing de impressos e marketing digital no e-commerce | EXAME.com,Former NASA chief unveils $100 million neural chip maker KnuEdge,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"Thunder, a Drupal distribution for publishers"
-9128741757954228992,Confirmed: Walmart buys Jet.com for $3B in cash,How enterprise architects can help ensure success with digital transformations,"Amazon tem 31% do mercado de infraestrutura em nuvem, segundo Gartner - Computação na Nuvem",Nintendo has doubled in value since Pokémon Go's release,Unilever Buys Dollar Shave Club for $1 Billion,How to choose algorithms for Microsoft Azure Machine Learning
-9128652074338368262,Clarifying the uses of artificial intelligence in the enterprise,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,Finding The Meaning Of Artificial Intelligence At Google I/O,13 Game-changing Artificial Intelligence Startups,The return of the machinery question,TechCrunch launches a personalized news recommendations bot on Facebook Messenger
-9102431381393428051,"contentId
-9102431381393428051    How Leaders Can Let Go Without Losing Control
-9102431381393428051    How Leaders Can Let Go Without Losing Control
Name: title, dtype: object",4 Reasons Managers Should Spend More Time on Coaching,[Retro] Celebration Grids - Management 3.0,Changing change management,Former Google career coach shares a visual trick for figuring out what to do with your life,[Webinar] PMI | Project Management Institute
-9090514312860140897,OpenBazaar is Open for Business,Shopping app Spring's redesign could be a game-changer,From fine wine to lotteries: Blockchain tech takes off - BBC News,Setting Up SSL proxy for Google Cloud Load Balancing,Operator fuses bots with humans to build cyborg shopping experts,Amazon founder: A.I.'s impact is
-9089854794058353436,Here's how The White House wants the U.S. to approach AI R&D,Innovation is in all the wrong places,TensorFlow v0.9 now available with improved mobile support,Shopping app Spring's redesign could be a game-changer,"Amazon goes open source with machine-learning tech, competing with Google's TensorFlow - GeekWire",Inside the offices of New York's biggest startups
-9086955082453789880,We are on the verge of a consumer M&A avalanche,The Competitive Landscape for Machine Intelligence,Why Steve Jobs Was Proud to Steal Ideas,Understanding the Twitter topic Tracker,Innovation is in all the wrong places,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up"
